City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,78.75,71,11,15.59,few clouds
1,Albany,US,42.6001,-73.9662,69.26,92,100,4.09,overcast clouds
2,Saint-Philippe,RE,-21.3585,55.7679,67.59,87,78,11.16,light rain
3,New Norfolk,AU,-42.7826,147.0587,53.1,49,78,11.65,broken clouds
4,Aklavik,CA,68.2191,-135.0107,32.23,99,100,7.49,overcast clouds
5,Fortuna Foothills,US,32.6578,-114.4119,106.21,4,0,6.91,clear sky
6,Busselton,AU,-33.65,115.3333,57.27,70,95,8.9,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,51.48,61,3,2.48,clear sky
8,Plettenberg Bay,ZA,-34.0527,23.3716,61.21,52,0,4.88,clear sky
9,Vardo,NO,70.3705,31.1107,37.38,81,100,9.22,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,58.8,63,0,9.6,clear sky
11,Arraial Do Cabo,BR,-22.9661,-42.0278,73.72,84,8,19.37,clear sky
12,Bilma,NE,18.6853,12.9164,78.71,19,0,12.44,clear sky
13,Sao Filipe,CV,14.8961,-24.4956,75.34,75,100,8.12,overcast clouds
14,Kapaa,US,22.0752,-159.319,82.38,74,0,9.22,clear sky
15,Hilo,US,19.7297,-155.09,86.29,72,100,14.97,overcast clouds
16,Khatanga,RU,71.9667,102.5,32.49,100,100,2.37,overcast clouds
17,Longyearbyen,SJ,78.2186,15.6401,30.04,74,75,1.14,broken clouds
18,Ahipara,NZ,-35.1667,173.1667,68.4,77,2,12.3,clear sky
19,Oblivskaya,RU,48.5362,42.5014,50.59,91,9,7.99,clear sky
20,Rikitea,PF,-23.1203,-134.9692,77.04,71,27,18.68,scattered clouds
21,Iracoubo,GF,5.4802,-53.2011,77.77,93,100,8.7,moderate rain
22,Bredasdorp,ZA,-34.5322,20.0403,53.78,81,0,3.71,clear sky
23,Makakilo City,US,21.3469,-158.0858,79.12,66,100,12.66,light intensity drizzle
24,Cristalina,BR,-16.7686,-47.6136,65.19,69,84,0.65,light rain
25,Namatanai,PG,-3.6667,152.4333,84.87,62,100,2.19,overcast clouds
26,Ozernovskiy,RU,51.5,156.5167,37.71,88,100,10.22,overcast clouds
27,Pisco,PE,-13.7,-76.2167,65.01,88,6,4.61,mist
28,Coihaique,CL,-45.5752,-72.0662,36.21,93,40,0.0,scattered clouds
29,Luderitz,NA,-26.6481,15.1594,71.6,27,44,7.18,scattered clouds
30,Butaritari,KI,3.0707,172.7902,82.04,73,40,10.98,scattered clouds
31,Vaini,TO,-21.2,-175.2,73.56,88,40,6.91,light intensity drizzle
32,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,40,11.5,moderate rain
33,Faanui,PF,-16.4833,-151.75,80.46,72,22,7.85,few clouds
34,Krutinka,RU,56.0055,71.5113,54.32,77,90,9.8,overcast clouds
35,Pechory,RU,57.8164,27.6119,44.06,70,96,11.54,overcast clouds
36,Punta Arenas,CL,-53.15,-70.9167,42.91,81,0,5.75,clear sky
37,Nizwa,OM,22.9333,57.5333,77.43,25,0,4.14,clear sky
38,Reconquista,AR,-29.15,-59.65,50.14,58,0,6.71,clear sky
39,Murray Bridge,AU,-35.1167,139.2667,58.82,60,61,13.06,broken clouds
40,Somerset East,ZA,-32.7217,25.588,54.32,45,0,5.26,clear sky
41,Abu Samrah,SY,35.3029,37.1841,59.97,77,0,17.67,clear sky
42,Lagunillas,VE,10.1301,-71.2595,82.81,74,100,9.66,overcast clouds
43,Sassandra,CI,4.95,-6.0833,78.06,90,99,4.05,overcast clouds
44,Georgetown,MY,5.4112,100.3354,80.53,93,20,5.75,few clouds
45,Jamestown,US,42.097,-79.2353,73.04,55,0,3.44,clear sky
46,Medyn,RU,54.9692,35.8586,39.25,93,86,8.28,overcast clouds
47,Resistencia,AR,-27.4606,-58.9839,57.25,79,0,9.22,clear sky
48,Guerrero Negro,MX,27.9769,-114.0611,68.16,62,70,15.37,broken clouds
49,Ilhabela,BR,-23.7781,-45.3581,70.9,87,24,5.41,few clouds
50,Saskylakh,RU,71.9167,114.0833,33.64,100,100,5.23,overcast clouds
51,Puerto Ayora,EC,-0.7393,-90.3518,72.55,96,84,1.01,broken clouds
52,Port Elizabeth,ZA,-33.918,25.5701,54.32,97,0,2.3,light rain
53,Narsaq,GL,60.9167,-46.05,39.42,71,22,2.86,few clouds
