City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-05-15 04:31:30,-54.8,-68.3,42.46,75,40,13.8
1,Aldan,RU,2022-05-15 04:31:31,58.6031,125.3894,34.3,75,100,7.14
2,Port Elizabeth,ZA,2022-05-15 04:31:31,-33.918,25.5701,46.69,93,0,4.61
3,Aklavik,CA,2022-05-15 04:31:32,68.2191,-135.0107,29.07,79,96,2.06
4,Nesna,NO,2022-05-15 04:31:32,66.1967,13.0213,40.66,87,100,24.0
5,Nome,US,2022-05-15 04:31:32,64.5011,-165.4064,33.87,93,100,10.36
6,Lukulu,ZM,2022-05-15 04:31:33,-14.3707,23.242,57.0,66,1,6.24
7,Ishigaki,JP,2022-05-15 04:31:33,24.3448,124.1572,73.53,94,75,21.85
8,Hobart,AU,2022-05-15 04:31:33,-42.8794,147.3294,67.86,53,40,8.05
9,Mozarlandia,BR,2022-05-15 04:31:34,-14.7447,-50.5706,71.71,55,63,2.62
10,Okhotsk,RU,2022-05-15 04:31:34,59.3833,143.3,35.71,97,100,33.69
11,Pisco,PE,2022-05-15 04:31:34,-13.7,-76.2167,64.45,82,100,4.61
12,Inongo,CD,2022-05-15 04:31:35,-1.95,18.2667,70.92,97,100,3.69
13,Galbshtadt,RU,2022-05-15 04:31:35,53.2264,78.9845,65.44,51,100,7.63
14,Labuhan,ID,2022-05-15 04:31:35,-6.8844,112.2051,87.57,68,93,2.51
15,Ambovombe,MG,2022-05-15 04:31:36,-25.1667,46.0833,69.3,79,0,5.06
16,Edd,ER,2022-05-15 04:27:42,13.9297,41.6925,87.39,55,0,0.16
17,Santa Cruz,BO,2022-05-15 04:31:36,-17.8,-63.1667,69.26,83,75,12.66
18,Port Blair,IN,2022-05-15 04:31:37,11.6667,92.75,84.24,79,40,10.36
19,Henderson,US,2022-05-15 04:30:11,36.0397,-114.9819,88.72,9,0,5.75
20,Katsuura,JP,2022-05-15 04:31:37,35.1333,140.3,63.55,73,100,18.03
21,San Jose,US,2022-05-15 04:27:10,37.3394,-121.895,70.88,63,20,9.22
22,Albany,US,2022-05-15 04:31:36,42.6001,-73.9662,68.18,85,100,3.11
23,San Patricio,US,2022-05-15 04:31:37,28.017,-97.5169,80.49,90,0,10.51
24,Bethel,US,2022-05-15 04:31:38,41.3712,-73.414,65.35,92,100,4.61
25,Catamarca,AR,2022-05-15 04:31:38,-28.4696,-65.7852,64.78,70,87,1.99
26,Port Alfred,ZA,2022-05-15 04:31:38,-33.5906,26.891,58.32,79,0,2.57
27,Charters Towers,AU,2022-05-15 04:31:39,-20.1,146.2667,79.99,39,1,4.09
28,Fort Nelson,CA,2022-05-15 04:31:39,58.8053,-122.7002,44.19,87,75,2.3
29,Baoying,CN,2022-05-15 04:31:39,33.2292,119.3092,76.89,22,100,7.54
30,Rudbar,AF,2022-05-15 04:31:40,30.15,62.6,75.09,25,0,16.33
31,Busselton,AU,2022-05-15 04:31:40,-33.65,115.3333,62.76,55,100,7.47
32,Omsukchan,RU,2022-05-15 04:31:40,62.5333,155.8,36.68,93,100,4.09
33,Rundu,NA,2022-05-15 04:31:41,-17.9333,19.7667,57.56,41,12,4.61
34,Bluff,NZ,2022-05-15 04:31:41,-46.6,168.3333,51.8,73,56,5.91
35,Uray,RU,2022-05-15 04:31:41,60.1247,64.7758,58.1,55,88,13.76
36,Puerto Del Rosario,ES,2022-05-15 04:31:42,28.5004,-13.8627,65.95,77,0,1.14
37,Barrow,US,2022-05-15 04:31:42,71.2906,-156.7887,28.42,93,0,16.11
38,Thompson,CA,2022-05-15 04:31:43,55.7435,-97.8558,41.16,93,100,2.3
39,Puerto Ayora,EC,2022-05-15 04:31:43,-0.7393,-90.3518,72.55,96,98,1.01
40,Cap Malheureux,MU,2022-05-15 04:31:43,-19.9842,57.6142,78.48,71,2,5.99
41,Bredasdorp,ZA,2022-05-15 04:31:10,-34.5322,20.0403,50.65,87,0,3.13
42,Jamestown,US,2022-05-15 04:28:08,42.097,-79.2353,65.84,89,100,0.0
43,Lichuan,CN,2022-05-15 04:31:44,30.3,108.85,52.63,87,100,0.98
44,Kahta,TR,2022-05-15 04:31:44,37.7855,38.6237,61.97,63,75,8.05
45,Ngama,TD,2022-05-15 04:31:44,11.7833,17.1667,86.92,47,96,11.79
46,Itagiba,BR,2022-05-15 04:32:45,-14.2836,-39.8428,66.97,99,100,2.73
47,Saint-Pierre,RE,2022-05-15 04:32:45,-21.3393,55.4781,75.9,60,20,6.91
48,Rikitea,PF,2022-05-15 04:32:45,-23.1203,-134.9692,76.48,74,100,21.07
49,Vaini,TO,2022-05-15 04:32:46,-21.2,-175.2,73.56,68,75,8.05
50,Sumbe,AO,2022-05-15 04:32:46,-11.2061,13.8437,74.46,88,59,1.12
